epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6312,1.77944,1.96734,1.42281,0.59683,0.52259,0.47641,0.18755,2.09403,1.70639,1.36893,0.0671336,0.000331984,0.000331984
2,99.7241,1.73555,1.60469,1.4257,0.73569,0.52515,0.60353,0.25633,1.91539,1.72058,1.32278,0.0341303,0.000662024,0.000662024
3,146.295,1.71745,1.57557,1.4202,0.62736,0.49105,0.50692,0.2145,1.98444,2.04092,1.33838,0.00112372,0.000988764,0.000988764
4,192.16,1.69469,1.52276,1.40026,0.73098,0.52352,0.58331,0.25738,1.9624,1.54532,1.30871,0.00098515,0.00098515,0.00098515
5,238.138,1.66663,1.49742,1.38167,0.74637,0.52856,0.57399,0.23933,2.01374,1.56965,1.32783,0.0009802,0.0009802,0.0009802
6,284.266,1.61368,1.42553,1.33992,0.72645,0.56146,0.59454,0.25718,1.91858,1.38123,1.29988,0.00097525,0.00097525,0.00097525
7,330.655,1.58506,1.39139,1.3321,0.78627,0.55413,0.61778,0.24995,2.00092,1.4268,1.2685,0.0009703,0.0009703,0.0009703
8,376.625,1.56288,1.34321,1.31885,0.77595,0.6104,0.67597,0.34097,1.80909,1.32142,1.21301,0.00096535,0.00096535,0.00096535
9,426.64,1.54051,1.30486,1.30233,0.79934,0.62148,0.69758,0.3001,1.93179,1.25265,1.27199,0.0009604,0.0009604,0.0009604
10,477.445,1.52754,1.29655,1.29991,0.84016,0.59761,0.70762,0.3468,1.77055,1.22302,1.18849,0.00095545,0.00095545,0.00095545
11,528.622,1.47725,1.22627,1.25685,0.84874,0.57289,0.67194,0.34048,1.77604,1.73793,1.18326,0.0009505,0.0009505,0.0009505
12,579.602,1.48462,1.21819,1.26254,0.82191,0.64621,0.72915,0.36246,1.76073,1.17841,1.17432,0.00094555,0.00094555,0.00094555
13,630.686,1.45963,1.21186,1.26572,0.86983,0.61524,0.72884,0.40147,1.5888,1.19301,1.14827,0.0009406,0.0009406,0.0009406
14,681.714,1.46809,1.20024,1.26305,0.7793,0.60784,0.68365,0.35603,1.65355,1.20988,1.16211,0.00093565,0.00093565,0.00093565
15,732.996,1.44637,1.16689,1.24637,0.83142,0.6391,0.72101,0.41422,1.51708,1.15668,1.11457,0.0009307,0.0009307,0.0009307
16,779.626,1.44145,1.16929,1.24431,0.82874,0.68067,0.73826,0.41228,1.58887,1.06806,1.14029,0.00092575,0.00092575,0.00092575
17,825.324,1.42104,1.11606,1.22977,0.83018,0.66265,0.71895,0.33559,1.79389,1.17808,1.19951,0.0009208,0.0009208,0.0009208
18,870.798,1.40677,1.11014,1.22733,0.8364,0.65303,0.74259,0.41952,1.56761,1.02254,1.13191,0.00091585,0.00091585,0.00091585
19,917.667,1.39231,1.10911,1.21444,0.84329,0.67436,0.74416,0.39998,1.63863,1.0274,1.14484,0.0009109,0.0009109,0.0009109
20,969.759,1.39124,1.08692,1.21634,0.8128,0.66998,0.75079,0.39253,1.68815,1.04408,1.14909,0.00090595,0.00090595,0.00090595
21,1021.42,1.39023,1.08021,1.20838,0.86055,0.66667,0.76345,0.41885,1.57512,1.02904,1.11189,0.000901,0.000901,0.000901
22,1072.73,1.35756,1.05141,1.19659,0.83862,0.68457,0.7641,0.41692,1.57045,1.0331,1.10446,0.00089605,0.00089605,0.00089605
23,1124.17,1.34457,1.04464,1.19227,0.88338,0.6716,0.77556,0.44952,1.51134,1.02358,1.10337,0.0008911,0.0008911,0.0008911
24,1175.5,1.35009,1.0256,1.20007,0.8593,0.66647,0.75654,0.41686,1.58124,1.0006,1.11049,0.00088615,0.00088615,0.00088615
25,1225.99,1.33969,1.03243,1.18673,0.84074,0.68855,0.75965,0.3645,1.82113,1.05767,1.14946,0.0008812,0.0008812,0.0008812
26,1274.73,1.35309,1.02806,1.19168,0.89536,0.6711,0.78222,0.47501,1.42084,0.94893,1.09097,0.00087625,0.00087625,0.00087625
27,1321.57,1.32217,0.99009,1.17938,0.83527,0.69594,0.77913,0.46634,1.41095,0.96752,1.06612,0.0008713,0.0008713,0.0008713
28,1367.61,1.35206,1.01488,1.18779,0.82916,0.6948,0.78361,0.46401,1.45795,0.93811,1.08864,0.00086635,0.00086635,0.00086635
29,1413.43,1.30782,0.97723,1.17315,0.84314,0.70929,0.78601,0.46785,1.42068,0.94729,1.0667,0.0008614,0.0008614,0.0008614
