epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.155,1.64805,1.94187,1.23344,0.52952,0.30605,0.33585,0.19972,1.74939,2.22164,1.2013,0.0672661,0.000330645,0.000330645
2,119.75,1.46012,1.24323,1.15859,0.72446,0.50554,0.57196,0.36649,1.39497,1.87771,1.10266,0.0342497,0.000647545,0.000647545
3,168.742,1.44708,1.20134,1.15759,0.8442,0.49428,0.58987,0.36184,1.48075,1.90525,1.1658,0.00121676,0.000947945,0.000947945
4,216.821,1.40178,1.13249,1.13364,0.83403,0.61263,0.70872,0.44949,1.331,1.06732,1.06717,0.00092575,0.00092575,0.00092575
5,258.682,1.33582,1.08688,1.12445,0.76745,0.60188,0.6787,0.4352,1.30321,1.06455,1.07379,0.000901,0.000901,0.000901
6,297.858,1.33331,1.03797,1.11599,0.83476,0.63939,0.71821,0.46436,1.27641,0.95808,1.03999,0.00087625,0.00087625,0.00087625
7,337.157,1.2872,1.02306,1.1061,0.79861,0.65985,0.72656,0.46923,1.28021,0.94553,1.05451,0.0008515,0.0008515,0.0008515
8,376.237,1.26571,0.97276,1.08856,0.81166,0.66868,0.7458,0.49253,1.23456,0.90736,1.04084,0.00082675,0.00082675,0.00082675
9,415.365,1.2123,0.9234,1.05942,0.87378,0.65132,0.73641,0.4958,1.21733,0.94211,1.04649,0.000802,0.000802,0.000802
10,454.859,1.20663,0.93206,1.07969,0.83259,0.69224,0.76011,0.50516,1.20498,0.89774,1.04257,0.00077725,0.00077725,0.00077725
11,494.362,1.20059,0.89291,1.07269,0.8774,0.64064,0.73649,0.48819,1.22187,0.87891,1.03184,0.0007525,0.0007525,0.0007525
12,538.658,1.1727,0.87022,1.04851,0.89211,0.67519,0.76613,0.52539,1.17275,0.83246,1.02443,0.00072775,0.00072775,0.00072775
13,581.982,1.14106,0.85271,1.04842,0.90219,0.6684,0.7744,0.53044,1.19372,0.84064,1.03169,0.000703,0.000703,0.000703
14,621.669,1.13394,0.86165,1.04766,0.86936,0.69906,0.77355,0.53677,1.12212,0.79174,1.01437,0.00067825,0.00067825,0.00067825
15,660.762,1.13658,0.84036,1.03147,0.87753,0.70858,0.80035,0.54822,1.11876,0.76689,0.99961,0.0006535,0.0006535,0.0006535
16,700.106,1.11845,0.80694,1.03674,0.90209,0.68332,0.78104,0.54687,1.11439,0.75327,1.00832,0.00062875,0.00062875,0.00062875
17,739.13,1.10794,0.80475,1.03005,0.87611,0.69736,0.79298,0.55552,1.09121,0.75557,1.00132,0.000604,0.000604,0.000604
18,778.594,1.09345,0.7921,1.02319,0.88097,0.71611,0.79461,0.55194,1.08024,0.73548,0.99928,0.00057925,0.00057925,0.00057925
19,817.9,1.06939,0.77895,1.01655,0.85307,0.72208,0.79966,0.5563,1.09229,0.79775,0.98896,0.0005545,0.0005545,0.0005545
20,857.327,1.08065,0.77458,1.01427,0.88351,0.70759,0.79898,0.56447,1.06228,0.7158,0.98932,0.00052975,0.00052975,0.00052975
21,896.513,1.03388,0.75189,0.99925,0.87351,0.71235,0.80182,0.56672,1.06652,0.70625,0.98638,0.000505,0.000505,0.000505
22,936.375,1.05045,0.73231,1.00216,0.86791,0.72123,0.80346,0.56259,1.06319,0.71602,0.99271,0.00048025,0.00048025,0.00048025
23,975.992,1.02179,0.74591,0.99523,0.88187,0.72634,0.80595,0.57092,1.05572,0.7201,0.97916,0.0004555,0.0004555,0.0004555
24,1015.33,1.02838,0.73256,1.00264,0.85692,0.73657,0.80476,0.57755,1.05486,0.69782,0.98016,0.00043075,0.00043075,0.00043075
25,1054.62,1.0247,0.71522,0.99469,0.87646,0.71867,0.80045,0.57704,1.03573,0.67715,0.98646,0.000406,0.000406,0.000406
26,1094.29,0.99134,0.70131,0.98613,0.86051,0.73103,0.8093,0.57514,1.03687,0.68724,0.97615,0.00038125,0.00038125,0.00038125
27,1140.12,0.99419,0.69781,0.98709,0.88852,0.74425,0.82486,0.58871,1.0295,0.67495,0.979,0.0003565,0.0003565,0.0003565
28,1181.74,0.99681,0.68782,0.98994,0.90117,0.72208,0.8213,0.58541,1.00988,0.68527,0.96922,0.00033175,0.00033175,0.00033175
29,1223.3,0.97593,0.66224,0.9827,0.86759,0.7597,0.82897,0.59575,0.98769,0.65032,0.96402,0.000307,0.000307,0.000307
30,1265.76,0.95267,0.65505,0.98007,0.86132,0.75713,0.83242,0.60271,0.98716,0.64923,0.96527,0.00028225,0.00028225,0.00028225
31,1307.53,0.96077,0.64488,0.97359,0.8754,0.76897,0.83366,0.59659,0.97033,0.62663,0.95187,0.0002575,0.0002575,0.0002575
32,1349.35,0.92665,0.62362,0.96222,0.89289,0.73998,0.83447,0.60738,0.96844,0.62964,0.95781,0.00023275,0.00023275,0.00023275
33,1390.66,0.93288,0.63181,0.96657,0.88958,0.74595,0.83061,0.60515,0.96614,0.62305,0.95982,0.000208,0.000208,0.000208
34,1432.1,0.92329,0.62841,0.96099,0.88221,0.75192,0.83268,0.60565,0.95589,0.61515,0.96068,0.00018325,0.00018325,0.00018325
35,1473.05,0.91147,0.60983,0.9595,0.88816,0.74469,0.8306,0.60593,0.95301,0.60963,0.96205,0.0001585,0.0001585,0.0001585
36,1536.01,0.8452,0.53419,0.92054,0.87849,0.75192,0.82646,0.60267,0.95512,0.62401,0.96208,0.00013375,0.00013375,0.00013375
37,1575.41,0.8233,0.51938,0.91718,0.88113,0.76462,0.83,0.60244,0.96076,0.60777,0.95983,0.000109,0.000109,0.000109
38,1615.22,0.80298,0.51701,0.90922,0.90628,0.73913,0.82965,0.60507,0.94828,0.59714,0.96088,8.425e-05,8.425e-05,8.425e-05
39,1654.51,0.80286,0.4951,0.91429,0.87796,0.76049,0.83797,0.61245,0.94504,0.59265,0.95782,5.95e-05,5.95e-05,5.95e-05
40,1694,0.79487,0.49315,0.90831,0.88456,0.75789,0.83326,0.60986,0.94294,0.5858,0.95799,3.475e-05,3.475e-05,3.475e-05
